ID	logNO2	logCars	temp	windsp	tempdiff	winddir	timehr	day	NO2	Cars	Time	IMorn	IAft	Train	NO2Cat	HoldOut
241	4.01638	6.39359	-5.8	1.2	1.3	73.7	24	480	55.49983235	597.9995491	Evening	0	0	1	2	1
242	3.09104	7.85516	6.5	5.2	-0.2	69	19	196	21.99994603	2579.007722	Afternoon	0	1	1	1	1
243	4.07073	7.33433	-14.7	0.8	0	212	17	457	58.59972478	1532.000995	Afternoon	0	1	1	2	1
244	3.94158	7.64826	4.8	4.4	-0.6	229	13	141	51.49990691	2096.993644	Afternoon	0	1	1	2	1
245	3.43076	7.662	3.4	2.9	0.6	23	18	174	30.90011792	2126.00519	Afternoon	0	1	1	2	1
246	3.627	7.72533	-2.3	4.1	-0.1	61.9	19	417	37.59984771	2264.999914	Afternoon	0	1	1	2	1
247	3.87743	7.46107	-2.8	1.4	-0.1	243	20	102	48.29992462	1739.007801	Evening	0	0	1	2	1
248	3.05871	6.2106	5.9	3.3	1.8	248	24	41	21.30006235	497.9999616	Evening	0	0	1	1	1
249	3.91202	7.61481	6.9	2.7	0.1	178	19	190	49.99984973	2028.0094	Afternoon	0	1	1	2	1
250	3.96651	5.43808	-0.9	1.6	4.3	96	6	49	52.79993713	230.0001589	Morning	1	0	1	2	1
