,freq94,freq95,freq96,freqT1,freqT2,freqT3,freqT4,freqT5,freqT6,freqT7,freqT8,amount94,amount95,amount96,amountT1,amountT2,amountT3,amountT4,amountT5,amountT6,amountT6,amountT7,amountT8,MDMAUD
260,2,8,9,3,2,1,5,1,2,2,4,0,0,250,0,250,0,0,0,0,0,0,0,L1CM
261,5,23,11,8,4,4,7,3,3,4,7,0,50,250,50,0,0,0,0,0,0,250,0,C1CM
262,1,12,11,3,2,1,5,3,2,5,4,0,75,50,0,0,0,0,0,25,25,0,100,C1LM
263,0,0,7,1,0,0,2,1,1,1,2,0,0,100,0,0,0,0,0,0,0,0,100,L1CM
264,1,8,15,3,2,0,7,2,3,3,6,0,9,100,0,0,0,0,0,9,9,100,0,L1CM
265,2,10,10,4,2,2,5,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,L2TM
266,8,28,16,6,6,6,9,2,6,6,12,0,70,0,35,35,0,0,0,0,0,0,0,D5CM
267,2,5,9,2,2,1,5,1,2,1,3,0,0,100,0,0,0,0,0,0,0,100,0,C1CM
268,2,13,16,6,4,3,7,4,2,2,4,50,0,0,0,0,50,0,0,0,0,0,0,C2CM
269,0,13,21,6,4,3,5,3,3,4,7,0,253,0,100,100,0,0,0,0,0,53,0,I1CM
270,4,13,10,4,2,3,6,2,2,5,4,0,25,27,0,27,0,0,0,0,0,0,25,D5MM
271,1,8,5,3,2,0,5,1,1,1,2,0,110,0,0,0,0,110,0,0,0,0,0,L1CM
272,4,28,30,9,6,6,18,8,6,4,9,83,80,175,0,50,83,50,0,25,25,130,0,D5MM
273,3,20,16,7,4,4,8,3,4,3,7,100,200,0,200,0,0,100,0,0,0,0,0,C2CM
274,5,16,28,8,5,5,12,4,4,5,8,97,346,155,0,0,97,0,116,0,0,85,300,I2CM
275,2,10,10,5,2,2,5,1,2,2,4,0,100,0,100,0,0,0,0,0,0,0,0,L1CM
276,2,8,9,3,2,1,5,1,2,2,4,0,0,200,0,0,0,0,0,0,0,200,0,D1CM
277,8,32,27,7,7,6,18,7,7,6,13,100,299,200,0,0,119,202,0,92,92,188,100,L2CM
278,1,10,16,5,3,2,5,1,3,3,6,0,100,0,100,0,0,0,0,0,0,0,0,L1CM
279,6,22,13,7,4,4,7,2,4,5,9,40,100,0,0,0,40,100,0,0,0,0,0,L1CM
280,7,39,27,11,7,7,14,6,8,7,15,100,310,125,0,0,100,0,100,0,0,125,210,D2CM
281,2,11,7,3,2,3,5,1,1,3,3,0,0,32,0,32,0,0,0,0,0,0,0,D2CM
282,0,13,29,7,4,2,11,5,4,4,8,0,74,0,0,22,25,0,0,17,17,10,0,C2CM
283,0,8,19,3,2,2,10,3,3,3,4,0,20,27,15,0,0,0,0,15,15,17,0,L2CM
284,2,10,15,4,2,2,8,3,3,2,5,0,77,189,0,0,0,0,0,0,0,87,179,C1CM
285,0,9,13,3,2,1,4,2,3,3,5,0,225.75,0,0,0,137.87,0,0,87.88,87.88,0,0,C1CM
286,3,17,14,5,4,2,5,3,4,4,8,0,0,100,0,0,0,0,0,0,0,100,0,D5TM
287,1,9,8,3,3,0,5,1,1,3,3,5,0,25,0,0,0,5,0,0,0,25,0,D2CM
288,2,10,10,4,2,1,5,1,3,2,5,0,100,0,50,0,0,0,50,0,0,0,0,C1CM
289,2,9,9,4,2,1,5,1,2,2,4,0,100,0,100,0,0,0,0,0,0,0,0,L1CM
290,2,11,9,3,2,3,5,1,2,3,4,0,0,75,0,0,0,75,0,0,0,75,0,D1CM
291,6,27,31,11,5,7,14,6,6,6,12,52,88,100,33,0,26,49,0,0,0,32,100,C1CM
292,2,10,11,3,2,2,5,2,3,2,5,0,100,125,0,0,0,0,0,0,0,125,100,D2MM
293,1,12,24,6,3,2,10,5,4,3,7,0,150,200,0,50,0,100,0,0,0,100,100,L2CM
294,6,24,17,7,8,4,7,2,6,4,10,125,0,200,0,0,125,0,0,0,0,0,200,C1CM
